Candidate,Candidate Timestamp,Matched Original Timestamp,Hamming Distance (64-bit),Similarity %,Robust Match (<0.15),Temporal Mapping,Candidate pHash,Original pHash
Rearranged,00:00.00,00:00.00,0,100.00,YES,Start,cf8d3988c7323363,cf8d3988c7323363
Rearranged,00:01.00,00:01.00,0,100.00,YES,Sequential,cf0d39cac6303367,cf0d39cac6303367
Rearranged,00:02.00,00:01.00,0,100.00,YES,Sequential,cf0d39cac6303367,cf0d39cac6303367
Rearranged,00:03.00,00:01.00,0,100.00,YES,Sequential,cf0d39cac6303367,cf0d39cac6303367
Rearranged,00:04.00,00:04.00,0,100.00,YES,Forward jump,e79c994996633aa4,e79c994996633aa4
Rearranged,00:05.00,00:04.00,0,100.00,YES,Sequential,e79c994996633aa4,e79c994996633aa4
Rearranged,00:06.00,00:50.00,0,100.00,YES,Forward jump,ed965a3b85c85338,ed965a3b85c85338
Rearranged,00:07.00,00:51.00,0,100.00,YES,Sequential,ed965a3b85c85319,ed965a3b85c85319
Rearranged,00:08.00,00:53.00,0,100.00,YES,Sequential,ed963a3b85c85319,ed963a3b85c85319
Rearranged,00:09.00,00:54.00,0,100.00,YES,Sequential,ed961a3b87c85319,ed961a3b87c85319
Rearranged,00:10.00,00:54.00,0,100.00,YES,Sequential,ed961a3b87c85319,ed961a3b87c85319
Rearranged,00:11.00,00:54.00,0,100.00,YES,Sequential,ed961a3b87c85319,ed961a3b87c85319
Rearranged,00:12.00,00:54.00,0,100.00,YES,Sequential,ed961a3b87c85319,ed961a3b87c85319
Rearranged,00:13.00,00:57.00,0,100.00,YES,Forward jump,ed9c1a3b87c85319,ed9c1a3b87c85319
Rearranged,00:14.00,00:58.00,0,100.00,YES,Sequential,ed9c1a3b87c85338,ed9c1a3b87c85338
Rearranged,00:15.00,00:57.00,4,93.75,YES,Backward jump,e99c1a3a87cc5339,ed9c1a3b87c85319
Rearranged,00:16.00,00:25.00,0,100.00,YES,Backward jump,ed965b1b85c85958,ed965b1b85c85958
Rearranged,00:17.00,00:31.00,2,96.88,YES,Forward jump,ed9c5a3b87c85318,ed9c3a3b87c85318
Rearranged,00:18.00,00:53.00,0,100.00,YES,Forward jump,ed963a3b85c85319,ed963a3b85c85319
Rearranged,00:19.00,00:30.00,2,96.88,YES,Backward jump,ed961a3b87ca5318,ed963a3b85ca5318
Rearranged,00:20.00,00:57.00,0,100.00,YES,Forward jump,ed9c1a3b87c85319,ed9c1a3b87c85319
Rearranged,00:21.00,00:57.00,0,100.00,YES,Sequential,ed9c1a3b87c85319,ed9c1a3b87c85319
Rearranged,00:22.00,00:57.00,0,100.00,YES,Sequential,ed9c1a3b87c85319,ed9c1a3b87c85319
